"filename", "language", "HTML", "Python", "comment", "blank", "total"
"c:\Users\Zainab\Projects\v3 - Payroll-Auditing Project\application\populate_db\__init__.py", "Python", 0, 0, -15, -1, -16
"c:\Users\Zainab\Projects\v3 - Payroll-Auditing Project\application\populate_db\users.py", "Python", 0, -7, -8, -3, -18
"c:\Users\Zainab\Projects\v3 - Payroll-Auditing Project\application\templates\auth\login.html", "HTML", 50, 0, 0, 15, 65
"c:\Users\Zainab\Projects\v3 - Payroll-Auditing Project\application\templates\control_panel\add_keyword.html", "HTML", 63, 0, 3, 31, 97
"c:\Users\Zainab\Projects\v3 - Payroll-Auditing Project\application\templates\control_panel\add_position.html", "HTML", 38, 0, 3, 24, 65
"c:\Users\Zainab\Projects\v3 - Payroll-Auditing Project\application\templates\control_panel\edit_keyword.html", "HTML", 49, 0, 4, 27, 80
"c:\Users\Zainab\Projects\v3 - Payroll-Auditing Project\application\templates\control_panel\edit_position.html", "HTML", 41, 0, 4, 25, 70
"c:\Users\Zainab\Projects\v3 - Payroll-Auditing Project\application\templates\control_panel\index.html", "HTML", 190, 0, 12, 47, 249
"c:\Users\Zainab\Projects\v3 - Payroll-Auditing Project\application\templates\home\OvertimeAudit.html", "HTML", 74, 0, 15, 12, 101
"c:\Users\Zainab\Projects\v3 - Payroll-Auditing Project\application\templates\home\index.html", "HTML", 2710, 0, 168, 572, 3450
"c:\Users\Zainab\Projects\v3 - Payroll-Auditing Project\application\templates\home\managefiles.html", "HTML", 309, 0, 20, 48, 377
"c:\Users\Zainab\Projects\v3 - Payroll-Auditing Project\application\templates\home\page-400.html", "HTML", 15, 0, 0, 3, 18
"c:\Users\Zainab\Projects\v3 - Payroll-Auditing Project\application\templates\home\page-403.html", "HTML", 16, 0, 1, 3, 20
"c:\Users\Zainab\Projects\v3 - Payroll-Auditing Project\application\templates\home\page-404.html", "HTML", 15, 0, 0, 3, 18
"c:\Users\Zainab\Projects\v3 - Payroll-Auditing Project\application\templates\home\page-429.html", "HTML", 16, 0, 1, 3, 20
"c:\Users\Zainab\Projects\v3 - Payroll-Auditing Project\application\templates\home\page-500.html", "HTML", 15, 0, 0, 3, 18
"c:\Users\Zainab\Projects\v3 - Payroll-Auditing Project\application\templates\home\refrence.html", "HTML", 783, 0, 76, 225, 1084
"c:\Users\Zainab\Projects\v3 - Payroll-Auditing Project\application\templates\includes\footer.html", "HTML", 9, 0, 2, 1, 12
"c:\Users\Zainab\Projects\v3 - Payroll-Auditing Project\application\templates\includes\footer_auth.html", "HTML", 9, 0, 0, 0, 9
"c:\Users\Zainab\Projects\v3 - Payroll-Auditing Project\application\templates\includes\navigation.html", "HTML", 118, 0, 8, 13, 139
"c:\Users\Zainab\Projects\v3 - Payroll-Auditing Project\application\templates\includes\navigation_auth.html", "HTML", 13, 0, 2, 0, 15
"c:\Users\Zainab\Projects\v3 - Payroll-Auditing Project\application\templates\includes\notificationsMessage.html", "HTML", 88, 0, 10, 16, 114
"c:\Users\Zainab\Projects\v3 - Payroll-Auditing Project\application\templates\includes\scripts.html", "HTML", 75, 0, 4, 11, 90
"c:\Users\Zainab\Projects\v3 - Payroll-Auditing Project\application\templates\includes\sidebar.html", "HTML", 99, 0, 34, 17, 150
"c:\Users\Zainab\Projects\v3 - Payroll-Auditing Project\application\templates\layouts\base.html", "HTML", 46, 0, 8, 16, 70
"c:\Users\Zainab\Projects\v3 - Payroll-Auditing Project\application\templates\layouts\base_auth.html", "HTML", 32, 0, 7, 10, 49
"c:\Users\Zainab\Projects\v3 - Payroll-Auditing Project\application\templates\layouts\base_expired.html", "HTML", 107, 0, 2, 22, 131
"Total", "-", 4980, -7, 361, 1143, 6477
